0.000000000000000000e+00 1.229082999531820430e+00 3.805786298376236392e-04
1.000000000000000021e-03 1.427674662205987044e+00 5.810936318749909983e-04
5.000000000000000278e-02 1.423596784360129375e+00 1.091841854557845789e-03
1.000000000000000056e-01 1.340589902307560033e+00 6.867362992527503663e-04
1.499999999999999944e-01 1.238288449873277353e+00 3.685683587652932970e-04
2.000000000000000111e-01 1.135829504660458067e+00 5.239637199516380310e-04
2.500000000000000000e-01 1.035206139802950620e+00 7.807985400716781080e-04
2.999999999999999889e-01 9.365928723196160766e-01 1.180452427806199123e-03
3.499999999999999778e-01 8.402927595924168935e-01 8.044128680368076980e-04
4.000000000000000222e-01 7.469804773987105406e-01 1.200463680778699393e-03
4.500000000000000111e-01 6.578985866140028005e-01 8.280487800172162474e-04
5.000000000000000000e-01 5.730484893246872158e-01 8.007737385212132172e-04
5.500000000000000444e-01 4.945278926490093707e-01 1.040341800541743104e-03
5.999999999999999778e-01 4.228400542505317827e-01 1.446323776016175374e-03
6.500000000000000222e-01 3.535944514089210955e-01 1.116243849114020468e-03
6.999999999999999556e-01 2.739254271973350363e-01 1.557202581943426326e-03
7.500000000000000000e-01 1.877741880768835081e-01 2.528018568445377940e-03
8.000000000000000444e-01 1.107875218627950853e-01 1.523311280388099740e-03
8.499999999999999778e-01 4.602313041018415984e-02 2.396946863491989342e-03
9.000000000000000222e-01 -1.153014814795437666e-02 1.367119135838893709e-03
9.499999999999999556e-01 -7.209249100151506051e-02 2.313567484482758913e-03
9.989999999999999991e-01 -1.800925181908539507e-01 8.632291486834049038e-03
1.000000000000000000e+00 -1.480129308058469352e-02 1.468588987730965606e-02
